date,open,high,low,close,volume
1990-03-26,1.3643,1.4635,1.3128,1.4635,656100
1990-03-27,1.4119,1.5111,1.4119,1.4635,603900
1990-03-28,1.4377,1.4635,1.4119,1.4635,1009800
1990-03-29,1.4377,1.4873,1.4377,1.4377,313200
1990-03-30,1.4377,1.4635,1.4377,1.4635,453600
1990-04-02,1.4377,1.4377,1.3881,1.3881,189000
1990-04-03,1.4377,1.4377,1.3881,1.4377,263700
1990-04-04,1.4119,1.4377,1.4119,1.4119,177300
1990-04-05,1.4119,1.4377,1.3881,1.4377,442202
1990-04-06,1.4119,1.4635,1.4119,1.4119,219600
1990-04-09,1.4377,1.4377,1.4119,1.4377,60602
1990-04-10,1.4119,1.4635,1.4119,1.4377,376200
1990-04-11,1.4635,1.5111,1.4377,1.4377,918000
1990-04-12,1.4377,1.4873,1.4377,1.4635,539100
1990-04-16,1.4873,1.4873,1.4377,1.4635,142200
1990-04-17,1.4873,1.4873,1.3881,1.4377,333000
1990-04-18,1.4119,1.4377,1.4119,1.4377,147002
1990-04-19,1.4119,1.4377,1.3881,1.4377,271202
1990-04-20,1.3881,1.4119,1.3386,1.3643,94802
1990-04-23,1.3128,1.3643,1.289,1.3128,228002
1990-04-24,1.3128,1.3881,1.3128,1.3128,793800
1990-04-25,1.3128,1.3386,1.2652,1.3128,334202
1990-04-26,1.3386,1.3386,1.3128,1.3128,11102
1990-04-27,1.3386,1.3386,1.289,1.3386,91800
1990-04-30,1.3386,1.3386,1.289,1.289,8402
1990-05-01,1.289,1.3386,1.289,1.3128,19202
1990-05-02,1.3386,1.3643,1.289,1.3643,214200
1990-05-03,1.3881,1.3881,1.3643,1.3643,33602
1990-05-04,1.3881,1.4119,1.3643,1.3881,53402
1990-05-07,1.3881,1.4377,1.3881,1.4119,161100
1990-05-08,1.4119,1.4377,1.3881,1.4119,88502
1990-05-09,1.4119,1.4119,1.4119,1.4119,27900
1990-05-10,1.4377,1.4635,1.4119,1.4635,360302
1990-05-11,1.4635,1.5627,1.4635,1.5111,659700
1990-05-14,1.5111,1.5627,1.4873,1.5627,280800
1990-05-15,1.5111,1.5627,1.4873,1.5111,468000
1990-05-16,1.5627,1.5627,1.5111,1.5111,172800
1990-05-17,1.5111,1.6122,1.5111,1.6122,431100
1990-05-18,1.5865,1.6598,1.5627,1.6122,700502
1990-05-21,1.5865,1.6122,1.5627,1.5865,1095300
1990-05-22,1.6122,1.6122,1.5369,1.5627,530100
1990-05-23,1.5865,1.6856,1.5865,1.6856,1566000
1990-05-24,1.6856,1.7848,1.6856,1.759,1021500
1990-05-25,1.759,1.759,1.7114,1.7114,669902
1990-05-29,1.7114,1.759,1.6856,1.7114,405302
1990-05-30,1.7114,1.759,1.6856,1.7114,1369202
1990-05-31,1.7114,1.7114,1.6598,1.6598,118202
1990-06-01,1.6598,1.6856,1.6598,1.6598,687002
1990-06-04,1.6598,1.7114,1.6598,1.6856,714902
1990-06-05,1.6598,1.6856,1.4873,1.5369,831002
1990-06-06,1.4119,1.5111,1.3881,1.4635,863402
1990-06-07,1.4635,1.4635,1.3386,1.4377,820800
1990-06-08,1.4119,1.4119,1.3881,1.3881,36900
1990-06-11,1.3881,1.4119,1.3643,1.4119,134402
1990-06-12,1.4119,1.4119,1.3643,1.4119,894902
1990-06-13,1.4119,1.4119,1.3881,1.4119,430502
1990-06-14,1.4119,1.4119,1.3386,1.3386,166802
1990-06-15,1.3881,1.3881,1.3386,1.3643,246902
1990-06-18,1.3386,1.3643,1.2394,1.2394,398102
1990-06-19,1.2652,1.3128,1.2394,1.289,187502
1990-06-20,1.289,1.3128,1.2652,1.289,261000
1990-06-21,1.2652,1.289,1.2394,1.2394,154202
1990-06-22,1.2394,1.289,1.2136,1.2136,283500
1990-06-25,1.2136,1.2394,1.166,1.2136,272700
1990-06-26,1.2136,1.2136,1.166,1.1898,192902
1990-06-27,1.1898,1.2136,1.1898,1.2136,88200
1990-06-28,1.1898,1.2136,1.1898,1.2136,354600
1990-06-29,1.2136,1.2136,1.1898,1.2136,60300
1990-07-02,1.1898,1.2136,1.1403,1.166,389700
1990-07-03,1.1898,1.2136,1.166,1.2136,708602
1990-07-05,1.1898,1.2136,1.166,1.166,13802
1990-07-06,1.2136,1.289,1.1898,1.2652,1087502
1990-07-09,1.2652,1.2652,1.2136,1.2652,1079402
1990-07-10,1.2652,1.2652,1.2394,1.2652,464702
1990-07-11,1.2652,1.2652,1.2136,1.2652,167702
1990-07-12,1.2652,1.2652,1.2136,1.2652,218700
1990-07-13,1.2652,1.2652,1.2136,1.2394,446400
1990-07-16,1.2136,1.2394,1.1145,1.1403,3009002
1990-07-17,1.0907,1.1403,1.0907,1.1145,855900
1990-07-18,1.1403,1.1403,1.0907,1.0907,84600
1990-07-19,1.0907,1.0907,0.9658,0.9915,668102
1990-07-20,1.0173,1.0649,0.9915,1.0649,698702
1990-07-23,1.0173,1.0411,0.9658,0.9915,345002
1990-07-24,0.9915,1.0173,0.9658,1.0173,246902
1990-07-25,1.0173,1.0649,0.9915,1.0649,311400
1990-07-26,1.0649,1.0907,1.0173,1.0649,384602
1990-07-27,1.0411,1.0649,1.0411,1.0649,114602
1990-07-30,0.9915,1.0649,0.9915,1.0173,300902
1990-07-31,0.9915,1.0411,0.942,0.9658,1795500
1990-08-01,0.942,0.9658,0.9182,0.942,441900
1990-08-02,0.942,0.9658,0.9182,0.9658,179402
1990-08-03,0.9658,0.9658,0.8428,0.8666,264902
1990-08-06,0.8666,0.8924,0.819,0.8428,498902
1990-08-07,0.8924,0.9182,0.8666,0.8666,483300
1990-08-08,0.8924,0.8924,0.7932,0.819,300902
1990-08-09,0.819,0.8428,0.7932,0.8428,314100
1990-08-10,0.819,0.8666,0.7932,0.7932,690602
1990-08-13,0.7932,0.819,0.7674,0.7932,95400
1990-08-14,0.819,0.819,0.7674,0.7932,675302
1990-08-15,0.7932,0.819,0.7674,0.7932,142502
1990-08-16,0.7932,0.819,0.7674,0.7674,482702
1990-08-17,0.7932,0.7932,0.6941,0.7199,378000
1990-08-20,0.7674,0.7674,0.6941,0.7199,238500
1990-08-21,0.7199,0.7199,0.6445,0.6445,542102
1990-08-22,0.6941,0.6941,0.6187,0.6445,476402
1990-08-23,0.6445,0.6445,0.5949,0.5949,291902
1990-08-24,0.6445,0.6445,0.5949,0.6445,520502
1990-08-27,0.6941,0.7436,0.6941,0.7436,254700
1990-08-28,0.7199,0.7436,0.6703,0.7436,710100
1990-08-29,0.7436,0.819,0.6941,0.819,152402
1990-08-30,0.819,0.942,0.819,0.9182,361800
1990-08-31,0.942,1.0173,0.8924,0.9915,388202
1990-09-04,0.942,0.9915,0.9182,0.942,329400
1990-09-05,0.9915,0.9915,0.942,0.9915,15300
1990-09-06,0.9915,0.9915,0.8924,0.9182,314100
1990-09-07,0.8924,0.942,0.8924,0.9182,163202
1990-09-10,0.942,0.942,0.8924,0.8924,37202
1990-09-11,0.8924,0.9182,0.8924,0.8924,61502
1990-09-12,0.8924,0.9182,0.8924,0.9182,66600
1990-09-13,0.9182,0.9182,0.8924,0.8924,45302
1990-09-14,0.8666,0.8924,0.819,0.8666,206402
1990-09-17,0.8666,0.8666,0.7674,0.7674,117000
1990-09-18,0.819,0.819,0.7674,0.7932,38102
1990-09-19,0.819,0.819,0.7932,0.819,53402
1990-09-20,0.7674,0.819,0.7674,0.819,36302
1990-09-21,0.7932,0.7932,0.7436,0.7436,169200
1990-09-24,0.7436,0.7932,0.7436,0.7932,43200
1990-09-25,0.7436,0.7932,0.7436,0.7932,32400
1990-09-26,0.7436,0.7674,0.6941,0.6941,88200
1990-09-27,0.7436,0.7436,0.6941,0.6941,127202
1990-09-28,0.7199,0.7436,0.6941,0.7199,82800
1990-10-01,0.7436,0.819,0.7436,0.819,159300
1990-10-02,0.8428,0.8666,0.7932,0.7932,52200
1990-10-03,0.7932,0.8924,0.7932,0.8428,402602
1990-10-04,0.7932,0.8666,0.7932,0.8428,22802
1990-10-05,0.7932,0.819,0.7932,0.819,50400
1990-10-08,0.819,0.819,0.819,0.819,64202
1990-10-09,0.7674,0.7932,0.7436,0.7674,28202
1990-10-10,0.7436,0.7674,0.7436,0.7436,54900
1990-10-11,0.7436,0.7674,0.5949,0.6445,396302
1990-10-12,0.6703,0.7199,0.6445,0.6941,312300
1990-10-15,0.7436,0.7674,0.7199,0.7436,85500
1990-10-16,0.7436,0.7436,0.7436,0.7436,0
1990-10-17,0.7674,0.7674,0.7199,0.7436,47102
1990-10-18,0.7436,0.7674,0.7436,0.7436,144900
1990-10-19,0.7674,0.7674,0.6703,0.6703,178200
1990-10-22,0.7199,0.7436,0.6703,0.6703,342302
1990-10-23,0.6703,0.6941,0.6703,0.6703,342000
1990-10-24,0.6445,0.6941,0.6445,0.6941,223200
